POST_DATE,SERVICE_DATE,PROPERTY_CODE,BOOKINGS_SOURCE,ROOMS,ARRIVALS,POPULATION,CONTRACT_CODE
2021-10-30,2021-11-30,DH,TD,352,105,1180,*
2021-10-30,2021-11-20,PH,TI,93,45,294,*
2021-10-30,2021-11-24,PH,TI,78,34,277,*
2021-10-30,2022-01-30,PH,TD,43,18,129,*
2021-10-30,2021-11-12,PH,TW,7,0,21,WGETA21
2021-10-30,2021-12-27,PH,TW,7,1,29,WGETA21
2021-10-30,2022-01-17,PH,TD,30,8,96,*
2021-10-30,2021-11-21,DH,RO,81,31,271,*
2021-10-30,2022-01-14,DH,GT,17,5,63,*
2021-10-30,2021-12-27,DH,RO,64,35,245,*
2021-10-30,2021-12-08,DH,GR,0,0,0,NDIL21A
2021-10-30,2021-11-25,CH,TW,5,1,21,WDVC21
2021-10-30,2022-01-21,CH,TI,48,24,184,*
2021-10-30,2021-12-12,CH,TD,327,185,1121,*
2021-10-30,2021-12-25,CH,TD,393,88,1476,*
2021-10-30,2021-12-24,CH,TW,7,3,23,WGETA21
2021-10-30,2021-12-14,CH,TW,2,1,9,WACCU21
2021-10-30,2022-01-10,CH,TW,0,0,0,WINSG22
2021-10-30,2021-12-14,DH,TW,16,0,44,WDVC21
2021-10-30,2021-11-18,DH,TW,1,0,2,WSWST21
2021-10-30,2021-11-18,PH,DO,5,0,5,*
2021-10-30,2022-01-08,CH,DO,0,0,0,*
2021-10-30,2021-11-05,DH,TW,1,0,4,WINSG21
2021-10-30,2021-10-31,PH,RO,29,8,111,*
2021-10-30,2021-12-03,PH,TW,5,0,16,WGETA21
2021-10-30,2021-12-10,PH,GT,3,0,6,*
2021-10-30,2021-12-11,PH,GT,3,1,7,*
2021-10-30,2022-01-22,PH,RO,2,0,8,*
2021-10-30,2021-11-06,DH,TW,1,0,3,WSWST21
2021-10-30,2022-01-31,DH,TW,3,3,11,WGETA22
2021-10-30,2021-11-22,DH,BW,0,0,0,IDIK21N
2021-10-30,2021-12-13,CH,TW,21,3,55,WDVC21
2021-10-30,2021-12-27,CH,TW,17,7,60,WDVC21
2021-10-30,2021-12-31,CH,TW,3,0,9,WINSG21
2021-10-30,2021-12-03,CH,CP,1,0,4,*
2021-10-30,2021-11-28,DH,DO,1,0,4,*
2021-10-30,2022-01-01,PH,TI,43,6,151,*
2021-10-30,2021-12-06,PH,TI,97,34,269,*
2021-10-30,2021-11-13,PH,RO,32,15,102,*
2021-10-30,2021-11-14,PH,TW,6,4,22,WGETA21
2021-10-30,2021-11-30,PH,TW,5,3,14,WINSG21
2021-10-30,2021-12-30,PH,TW,5,1,14,WACCU21
2021-10-30,2022-01-08,PH,GT,2,0,2,*
2021-10-30,2021-11-14,PH,GT,14,9,38,*
2021-10-30,2021-12-25,DH,TW,4,0,10,WACCU21
2021-10-30,2021-11-17,DH,TI,167,88,508,*
2021-10-30,2021-12-16,DH,RO,49,13,181,*
2021-10-30,2021-12-19,DH,TI,163,61,611,*
2021-10-30,2022-01-02,DH,TW,3,1,11,WINSG22
2021-10-30,2022-01-07,DH,TW,3,0,9,WINSG22
2021-10-30,2022-01-12,DH,TW,1,0,5,WINSG22
2021-10-30,2021-11-03,DH,GR,285,93,492,GDCJ21B
2021-10-30,2021-12-02,DH,BW,5,0,7,IDIL21D
2021-10-30,2022-01-03,CH,GT,13,3,50,*
2021-10-30,2021-11-26,CH,TW,10,0,43,WGETA21
2021-10-30,2021-12-09,CH,TW,12,0,40,WGETA21
2021-10-30,2021-11-19,CH,TW,0,0,0,WDDMX21
2021-10-30,2022-01-16,CH,CP,3,2,9,*
2021-10-30,2021-12-13,CH,TW,15,4,55,WGETA21
2021-10-30,2021-12-03,CH,GT,12,3,41,*
2021-10-30,2021-11-20,CH,GR,106,8,315,GCMK21A
2021-10-30,2021-11-13,CH,TW,8,4,21,WEXP21
2021-10-30,2021-12-06,CH,TW,1,1,3,WFUNJ21
2021-10-30,2021-10-31,DH,BA,0,0,0,HDHJ21A
2021-10-30,2021-12-08,DH,CP,1,1,2,*
2021-10-30,2021-12-15,PH,TW,15,5,43,WDVC21
2021-10-30,2021-12-21,DH,DO,0,0,0,*
2021-10-30,2021-12-04,PH,TW,4,0,12,WGETA21
2021-10-30,2021-11-19,DH,TI,199,89,675,*
2021-10-30,2021-11-26,DH,GT,26,5,105,*
2021-10-30,2021-11-07,DH,GT,15,9,52,*
2021-10-30,2021-11-03,DH,TW,10,2,30,WGETA21
2021-10-30,2021-11-20,DH,TW,11,6,44,WGETA21
2021-10-30,2021-11-21,DH,TW,14,6,55,WGETA21
2021-10-30,2021-11-15,DH,BW,0,0,0,IDIK21S
2021-10-30,2021-11-06,DH,BW,7,1,19,IDIK21D
2021-10-30,2021-12-10,DH,GR,60,1,149,GDML21A
2021-10-30,2021-11-19,DH,GR,14,1,27,GDMK21A
2021-10-30,2021-11-20,CH,TW,12,6,35,WDVC21
2021-10-30,2021-12-18,CH,GT,15,6,56,*
2021-10-30,2021-11-03,CH,TW,2,1,8,WINSG21
2021-10-30,2021-11-17,CH,GR,86,77,252,GCMK21A
2021-10-30,2022-01-05,CH,GR,32,1,42,GCDL21B
2021-10-30,2021-12-28,CH,TW,1,0,4,WACCU21
2021-10-30,2021-11-02,PH,TW,2,0,7,WDDMX21
2021-10-30,2021-12-20,PH,GT,11,6,43,*
2021-10-30,2021-11-04,PH,TW,1,0,4,WINSG21
2021-10-30,2021-11-26,PH,TW,7,3,25,WDVC21
2021-10-30,2021-11-07,CH,TW,0,0,0,WABRE21
2021-10-30,2022-01-12,DH,TW,7,2,24,WGETA22
2021-10-30,2021-12-31,DH,RO,77,26,282,*
2021-10-30,2021-10-31,DH,TW,1,1,4,WFUNJ21
2021-10-30,2021-11-08,DH,BW,4,0,10,IDIK21Y
2021-10-30,2022-01-13,DH,BW,3,0,7,IDIA22E
2021-10-30,2022-01-13,DH,TW,1,0,5,WINSG22
2021-10-30,2021-12-28,DH,TW,1,0,2,WFUN21
2021-10-30,2021-12-02,DH,GR,17,17,37,GDRK20B
2021-10-30,2021-11-11,CH,GT,10,5,37,*
2021-10-30,2021-11-28,CH,TW,15,8,36,WEXP21
2021-10-30,2022-01-14,CH,RO,26,9,88,*
2021-10-30,2021-12-21,DH,TW,31,7,83,WEXP21
2021-10-30,2021-11-14,DH,DO,2,1,9,*
2021-10-30,2021-11-11,CH,TW,13,6,34,WEXP21
2021-10-30,2021-11-25,CH,TW,12,7,32,WEXP21
2021-10-30,2021-12-06,CH,DO,0,0,0,*
2021-10-30,2022-01-25,PH,TI,8,1,21,*
2021-10-30,2022-01-24,PH,GT,3,1,8,*
2021-10-30,2021-11-24,CH,DO,2,2,7,*
2021-10-30,2021-11-08,CH,DO,0,0,0,*
2021-10-30,2021-11-23,DH,TW,0,0,0,WFUNJ21
2021-10-30,2021-11-21,DH,DO,0,0,0,*
2021-10-30,2021-12-27,PH,TD,375,139,1355,*
2021-10-30,2021-12-10,PH,TW,0,0,0,WABRE21
2021-10-30,2021-12-18,DH,CP,11,1,37,*
2021-10-30,2021-12-20,DH,RO,52,10,180,*
2021-10-30,2022-01-24,DH,GT,13,0,55,*
2021-10-30,2022-01-03,DH,TW,1,1,4,WACTN22
2021-10-30,2021-11-06,DH,TW,2,0,7,WACCU21
2021-10-30,2021-11-24,DH,TW,0,0,0,WACCU21
2021-10-30,2021-11-17,CH,TW,3,0,6,WDVC21
2021-10-30,2021-12-01,CH,TW,0,0,0,WABRE21
2021-10-30,2021-11-19,CH,TW,2,1,5,WFUNJ21
2021-10-30,2022-01-22,CH,GR,22,12,69,GCKA22A
2021-10-30,2022-01-31,CH,GT,0,0,0,*
2021-10-30,2022-01-19,PH,GT,1,0,5,*
2021-10-30,2021-12-12,CH,TW,1,1,3,WFUN21
2021-10-30,2022-01-20,DH,TW,0,0,0,WFUNJ22
2021-10-30,2021-11-10,DH,TD,381,149,1321,*
2021-10-30,2021-12-16,DH,TD,299,97,1067,*
2021-10-30,2021-11-19,PH,TI,77,31,236,*
2021-10-30,2021-11-10,PH,TD,219,107,695,*
2021-10-30,2021-11-21,PH,TD,307,128,1064,*
2021-10-30,2021-11-28,DH,TW,30,9,83,WDVC21
2021-10-30,2021-11-01,DH,TW,1,0,3,WDDMX21
2021-10-30,2021-11-03,CH,TW,34,9,92,WDVC21
2021-10-30,2021-12-26,CH,RO,51,26,168,*
2021-10-30,2021-12-21,CH,TD,415,61,1556,*
2021-10-30,2022-01-22,CH,TD,52,14,184,*
2021-10-30,2022-01-27,CH,CP,2,2,8,*
2021-10-30,2022-01-20,CH,TW,3,0,11,WGETA22
2021-10-30,2022-01-07,CH,TW,1,1,2,WINSG22
2021-10-30,2021-11-12,CH,TW,0,0,0,WABRE21
2021-10-30,2021-11-07,DH,TW,10,7,30,WDVC21
2021-10-30,2021-12-17,PH,TW,14,9,43,WDVC21
2021-10-30,2021-11-18,PH,GT,5,3,13,*
2021-10-30,2021-12-20,PH,TW,1,1,4,WFUNJ21
2021-10-30,2021-11-26,CH,DO,0,0,0,*
2021-10-30,2021-12-15,CH,TW,1,0,3,WFUN21
2021-10-30,2021-11-08,DH,TW,1,0,4,WFUNJ21
2021-10-30,2021-11-09,DH,TW,0,0,0,WFUNJ21
2021-10-30,2021-11-26,DH,TW,0,0,0,WMICK21
2021-10-30,2021-11-26,DH,TD,390,97,1404,*
2021-10-30,2022-01-07,DH,TD,142,37,527,*
2021-10-30,2021-11-01,PH,TW,7,1,30,WGETA21
2021-10-30,2021-12-06,DH,TW,3,0,7,WINSG21
2021-10-30,2022-01-02,DH,TW,0,0,0,WINSG21
2021-10-30,2021-10-31,DH,RO,56,22,181,*
2021-10-30,2022-01-04,DH,GT,6,0,20,*
2021-10-30,2022-01-29,DH,TI,28,7,99,*
2021-10-30,2022-01-19,DH,TI,20,5,69,*
2021-10-30,2022-01-30,CH,RO,36,21,138,*
2021-10-30,2021-11-09,CH,TW,1,0,2,WUNVA21
2021-10-30,2022-01-17,CH,TW,0,0,0,WSWST22
2021-10-30,2021-12-17,CH,GR,93,5,280,GCML21A
2021-10-30,2021-12-31,CH,TW,0,0,0,WJALP21
2021-10-30,2021-10-31,PH,BW,0,0,0,IDIJ212
2021-10-30,2021-12-14,PH,TW,1,0,5,WINSG21
2021-10-30,2021-11-08,CH,BW,0,0,0,IDIK21D
2021-10-30,2021-11-29,PH,RO,18,5,63,*
2021-10-30,2021-11-09,PH,TW,15,9,40,WEXP21
2021-10-30,2021-12-31,DH,BW,5,1,13,ICIL21T
2021-10-30,2021-11-11,DH,GR,1,0,3,GDCK21B
2021-10-30,2021-10-31,DH,WI,1,1,2,*
2021-10-30,2021-11-22,PH,TW,6,2,20,WDVC21
2021-10-30,2022-01-09,CH,TW,6,4,16,WGETA22
2021-10-30,2021-12-23,CH,TW,9,5,35,WGETA21
2021-10-30,2021-12-11,CH,GT,15,6,53,*
2021-10-30,2022-01-01,CH,TW,0,0,0,WEXP21
2021-10-30,2021-11-01,DH,TW,16,4,47,WDVC21
2021-10-30,2021-12-29,CH,TW,1,0,4,WINSG21
2021-10-30,2021-11-03,CH,TW,1,0,2,WSWST21
2021-10-30,2021-12-11,CH,BA,7,7,14,HCGL21A
2021-10-30,2021-11-21,DH,TW,0,0,0,WUNVA21
2021-10-30,2022-01-19,PH,TI,12,3,43,*
2021-10-30,2022-01-10,DH,TD,103,34,384,*
2021-10-30,2021-11-09,PH,TW,1,0,2,WSWST21
2021-10-30,2021-12-27,DH,TW,2,1,8,WINSG21
2021-10-30,2022-01-10,PH,TW,2,2,5,WABRE22
2021-10-30,2021-11-02,PH,TW,0,0,0,WACTN21
2021-10-30,2021-11-13,DH,BW,6,0,13,IDIK21S
2021-10-30,2021-11-05,DH,GR,15,0,17,DDHK21A
2021-10-30,2021-12-05,PH,CP,1,1,1,*
2021-10-30,2021-12-19,CH,DO,6,3,16,*
2021-10-30,2021-11-11,CH,TI,202,89,656,*
2021-10-30,2021-11-07,CH,TD,265,156,923,*
2021-10-30,2021-11-08,CH,TW,1,0,2,WINSG21
2021-10-30,2022-01-05,CH,CP,7,3,26,*
2021-10-30,2021-12-22,CH,TW,0,0,0,WACCU21
2021-10-30,2021-12-12,PH,BW,0,0,0,IDIL21J
2021-10-30,2021-11-04,PH,GR,22,3,35,GDCJ21B
2021-10-30,2021-12-15,CH,TW,0,0,0,WABRE21
2021-10-30,2021-11-21,DH,TW,2,0,6,WFUNJ21
2021-10-30,2021-11-15,CH,TW,0,0,0,WFUNJ21
2021-10-30,2022-01-06,DH,GT,6,3,23,*
2021-10-30,2022-01-27,PH,RO,7,0,17,*
2021-10-30,2021-11-24,PH,TW,5,2,21,WGETA21
